Season,Shots_Per_Game
20222023,31.27
20212022,31.62
20202021,29.97
20192020,31.41
20182019,31.45
20172018,31.96
20162017,30.21
20152016,29.74
20142015,29.92
20132014,30.03
20122013,29.14
20112012,29.75
