Season,Mean_ESG
2011-12,148.1
2012-13,86.3
2013-14,147.17
2014-15,147.33
2015-16,142.33
2016-17,149.6
2017-18,158.52
2018-19,164.84
2019-20,139.26
2020-21,109.19
2021-22,171.62
2022-23,170.53
