Season,Power_play_percentage
20222023,21.23
20212022,20.54
20202021,19.59
20192020,19.99
20182019,19.7
20172018,20.11
20162017,19.12
20152016,18.67
20142015,18.62
20132014,17.9
20122013,18.13
20112012,17.32
