Season,Avg_Goals_Game
20222023,3.15
20212022,3.11
20202021,2.9
20192020,2.98
20182019,2.98
20172018,2.93
20162017,2.73
20152016,2.67
20142015,2.66
20132014,2.67
20122013,2.65
20112012,2.66
